PETALUMA		SONOMA						
122.617	38.267							
MO	DA	YEAR	TMAX	TMIN	SOL	PRCP	RH	WIND
1	1	1999	17.2	-1.7	123	5.838	-1	-1
1	2	1999	15.6	-2.2	108	3.046	-1	-1
1	3	1999	12.8	-3.3	116	4.569	-1	-1
1	4	1999	11.7	-1.1	73	7.36	-1	-1
1	5	1999	12.8	-1.1	103	5.076	-1	-1
1	6	1999	9.4	-1.1	65	2.538	-1	-1
1	7	1999	8.3	-1.1	51	5.33	-1	-1
1	8	1999	13.3	3.9	72	4.569	-1	-1
1	9	1999	9.4	-2.2	83	5.838	-1	-1
1	10	1999	10.6	-1.7	77	2.031	-1	-1
1	11	1999	14.4	-1.7	74	5.076	-1	-1
1	12	1999	15	-0.6	102	8.629	-1	-1
1	13	1999	12.2	3.3	58	7.107	-1	-1
1	14	1999	13.9	4.4	58	5.584	-1	-1
1	15	1999	15	8.3	48	4.822	-1	-1
1	16	1999	15	6.1	97	13.7	-1	-1
1	17	1999	13.9	9.4	28	3.3	-1	-1
1	18	1999	15.6	9.4	66	5.838	-1	-1
1	19	1999	15	10	27	2.284	-1	-1
1	20	1999	13.9	8.9	32	5.838	-1	-1
1	21	1999	15	5.6	93	2.284	-1	-1
1	22	1999	13.3	7.8	27	4.569	-1	-1
1	23	1999	12.8	0.6	86	4.822	-1	-1
1	24	1999	13.9	-1.7	132	6.091	-1	-1
1	25	1999	15	1.1	141	4.315	-1	-1
1	26	1999	12.8	0	78	3.553	-1	-1
1	27	1999	16.1	-1.7	146	8.122	-1	-1
1	28	1999	15.6	-1.7	140	3.046	-1	-1
1	29	1999	13.3	-1.1	119	4.315	-1	-1
1	30	1999	12.8	-1.1	85	3.046	-1	-1
1	31	1999	13.3	1.1	107	3.3	-1	-1
2	1	1999	14.4	-1.1	157	3.046	-1	-1
2	2	1999	16.1	-2.2	151	6.091	-1	-1
2	3	1999	15	-0.6	155	4.822	-1	-1
2	4	1999	16.1	0.6	134	6.599	-1	-1
2	5	1999	13.3	-2.2	131	4.061	-1	-1
2	6	1999	12.2	7.2	10	5.584	-1	-1
2	7	1999	15	7.2	82	6.345	-1	-1
2	8	1999	13.3	7.2	26	6.091	-1	-1
