PointSanPedro		MARIN						
122.55	38.11666667							
MO	DA	YEAR	TMAX	TMIN	SOL	PRCP	RH	WIND
1	1	1995	10	5.6	29	3.807	73.5	1
1	2	1995	8.9	3.9	38	5.076	69.95	1
1	3	1995	13.3	6.1	48	7.614	74.8	1
1	4	1995	10	8.3	21	11.42	75.1	1
1	5	1995	13.3	8.3	60	5.33	66.45	1
1	6	1995	11.7	7.2	22	10.15	71.45	1
1	7	1995	16.1	10	51	14.21	66.15	3
1	8	1995	15	11.1	10	43.9	73.7	3
1	9	1995	17.2	12.2	79	50.76	71.4	3
1	10	1995	16.7	8.3	42	17.76	66.05	2
1	11	1995	15.6	8.3	57	2.792	67.05	1
1	12	1995	15	11.1	36	5.584	76.7	1
1	13	1995	16.1	11.7	27	12.18	73.3	2
1	14	1995	15.6	8.3	69	7.868	69	1
1	15	1995	13.9	6.1	85	1.015	66.05	1
1	16	1995	11.7	2.2	68	0	68.75	1
1	17	1995	11.7	0	83	0.254	68.85	1
1	18	1995	12.8	3.3	88	0	68.5	1
1	19	1995	13.9	2.8	92	0	67.5	1
1	20	1995	9.4	5	18	9.645	72.6	1
1	21	1995	11.1	7.8	47	5.076	72.15	1
1	22	1995	12.2	9.4	17	29.18	73	1
1	23	1995	15	10.6	53	14.46	71.1	1
1	24	1995	15.6	7.8	78	4.315	70.2	1
1	25	1995	15.6	6.7	60	0	70.8	1
1	26	1995	13.3	5.6	23	28.93	74.95	1
1	27	1995	13.3	10.6	22	16.75	78.8	1
1	28	1995	15.6	10.6	39	4.569	75.9	1
1	29	1995	17.8	11.1	71	0	70.8	1
1	30	1995	15	12.8	24	21.06	78	1
1	31	1995	19.4	12.8	81	0.254	73.05	1
2	1	1995	20	10.6	80	0	71.35	1
2	2	1995	18.9	10.6	117	0	69.75	1
2	3	1995	15.6	8.3	77	0	70.65	1
2	4	1995	13.9	7.2	62	0	73.8	1
2	5	1995	16.1	10	85	0	67.8	1
2	6	1995	13.9	10.6	62	0	67.3	1
2	7	1995	14.4	8.3	65	0	66.7	1
2	8	1995	16.1	6.1	68	11.92	66.1	1
2	9	1995	20	3.3	138	0	63.8	1
2	10	1995	16.1	5.6	96	0	68.6	1
2	11	1995	12.2	9.4	23	0	66.95	0
2	12	1995	14.4	6.1	76	0	61.5	1
2	13	1995	13.9	3.3	84	3.553	62.35	1
2	14	1995	13.3	-0.6	155	0.254	57.3	1
2	15	1995	16.7	-1.1	159	0	61.85	1
2	16	1995	13.3	0.6	85	0	63.65	1
2	17	1995	17.8	1.7	143	0	63.7	1
2	18	1995	20	7.8	130	0	65	1
2	19	1995	20	5.6	165	0	66.55	1
2	20	1995	21.1	5	155	0.254	66.2	1
2	21	1995	24.4	6.7	166	0	64.45	1
2	22	1995	17.8	7.8	97	0	71.8	1
2	23	1995	17.2	10	75	0	65.2	1
2	24	1995	15	11.1	46	0	64.2	1
2	25	1995	14.4	8.9	60	0	66.55	1
2	26	1995	13.9	11.1	42	0	64.4	0
2	27	1995	15	7.8	54	0	63.45	0
2	28	1995	14.4	6.7	59	0.508	69.6	0
3	1	1995	16.7	6.7	64	0	67.2	0
3	2	1995	16.1	10	41	30.96	74.85	1
3	3	1995	15	3.9	163	5.076	61.45	1
3	4	1995	14.4	2.2	109	1.777	63	1
3	5	1995	15	3.3	117	2.031	60.15	1
