CasGis run on 11/6/2025 8:50:43 AM
Number of plants=	  10
year	jday	month	date	day	dd	rain	leaf	stem	tuber	reserves	sumflin	sd*10	nsdlsr10	wsd*10	ibranch	gs	gr	gres	gtuber	glf	pcost	lai100	totevap	sumtrans	tnuptk	tdelorg	soiln	soilw	nveg	gmitetot	T_aripoN	T_ManihotiN	mb1	mb2	mb3	mb4	mb5	mb6	totCM	ed1	ed2	ed3	el1	el2	el3
      1980	         1	         1	29221	1	0	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.525	0.00	0.00	0.000	9.50	1473.48	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	         2	         1	29222	2	0	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.070	0.00	0.00	0.000	9.50	1471.93	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	         3	         1	29223	3	1	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.593	0.00	0.00	0.000	9.50	1470.41	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	         4	         1	29224	4	2	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.970	0.00	0.00	0.000	9.50	1469.03	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	         5	         1	29225	5	2	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.773	0.00	0.00	0.000	9.50	1466.23	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	         6	         1	29226	6	2	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.220	0.00	0.00	0.000	9.50	1464.78	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	         7	         1	29227	7	2	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.303	0.00	0.00	0.000	9.50	1463.70	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	         8	         1	29228	8	2	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.207	0.00	0.00	0.000	9.50	1462.79	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	         9	         1	29229	9	2	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.000	0.00	0.00	0.000	9.50	1462.00	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        10	         1	29230	10	2	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.714	0.00	0.00	0.000	9.50	1461.29	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        11	         1	29231	11	4	2.200	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.270	0.00	0.00	0.000	9.50	1461.93	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        12	         1	29232	12	4	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.978	0.00	0.00	0.000	9.50	1461.22	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        13	         1	29233	13	4	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16.629	0.00	0.00	0.000	9.50	1460.57	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        14	         1	29234	14	4	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.234	0.00	0.00	0.000	9.50	1459.97	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        15	         1	29235	15	4	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.802	0.00	0.00	0.000	9.50	1459.40	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        16	         1	29236	16	4	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.339	0.00	0.00	0.000	9.50	1458.86	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        17	         1	29237	17	4	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.850	0.00	0.00	0.000	9.50	1458.35	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        18	         1	29238	18	4	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.337	0.00	0.00	0.000	9.50	1457.86	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        19	         1	29239	19	4	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.805	0.00	0.00	0.000	9.50	1457.40	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        20	         1	29240	20	4	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.255	0.00	0.00	0.000	9.50	1456.94	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        21	         1	29241	21	4	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.689	0.00	0.00	0.000	9.50	1456.51	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        22	         1	29242	22	4	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21.109	0.00	0.00	0.000	9.50	1456.09	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        23	         1	29243	23	4	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21.516	0.00	0.00	0.000	9.50	1455.68	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        24	         1	29244	24	4	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21.911	0.00	0.00	0.000	9.50	1455.29	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        25	         1	29245	25	4	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22.295	0.00	0.00	0.000	9.50	1454.90	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        26	         1	29246	26	5	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22.670	0.00	0.00	0.000	9.50	1454.53	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
      1980	        27	         1	29247	27	9	0.000	0.000	6.000	0.000	2.750	0.000	10.000	10.000	10.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.034	0.00	0.00	0.000	9.50	1454.17	0.00	0.0000	0.0000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
