Model	Date	Time	WxFile	Long	Lat	JdStart	JdEnd	Month	Day	Year	dd	root	stem	leaf	tuber	leafnum	sdlsr	nsdlsr	wsd	sqdecplt	lai	evapsoil	fielddem	avgev	wvgwd	gmtot	TariNum	TManNum	mb1	mb2	mb3	mb4	mb5	mb6	ed1	ed2	ed3	el1	el2	el3
CasGIS	06Nov25	8:50:27-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_217_DZA_NF.txt	0.1250	35.8750	1	365	12	30	1985	1659	3.672	463.740	2.849	120.553	21.387	1.00	1.00	1.00	100.161	0.061	0.478	0.010	0.479	0.022	0.8362	0.0082	0.0069	1.111	1.229	0.570	1.493	2.891	40.354	0.000	0.001	0.001	141.654	102.302	7.056
CasGIS	06Nov25	8:50:27-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_219_DZA_NF.txt	0.1250	35.3750	1	365	12	30	1985	1320	6.557	824.698	4.112	240.564	32.267	1.00	1.00	0.90	100.045	0.162	0.613	0.100	0.610	0.101	0.2259	0.0072	0.0050	0.019	0.193	0.052	0.099	0.198	2.570	0.000	0.001	0.000	105.585	56.011	1.844
CasGIS	06Nov25	8:50:28-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_221_DZA_NF.txt	0.1250	34.8750	1	365	12	30	1985	1117	6.201	763.920	17.129	240.435	50.910	1.00	1.00	0.90	99.999	0.591	0.517	0.467	0.561	0.278	0.0017	0.0054	0.0050	0.000	0.173	0.020	0.033	0.054	0.666	0.001	0.001	0.001	46.343	26.245	1.800
CasGIS	06Nov25	8:50:28-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_223_DZA_NF.txt	0.1250	34.3750	1	365	12	30	1985	1177	3.053	373.540	14.187	69.157	23.809	0.90	0.90	0.69	96.499	0.400	0.619	0.342	0.657	0.186	0.0002	0.0058	0.0050	0.074	0.192	0.129	0.190	0.261	2.339	0.002	0.003	0.002	43.612	25.630	2.816
CasGIS	06Nov25	8:50:29-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_225_DZA_NF.txt	0.1250	33.8750	1	365	12	30	1985	1270	0.953	116.693	0.071	2.511	1.852	1.00	1.00	0.10	100.007	0.002	0.770	0.010	0.770	0.010	0.0007	0.0050	0.0050	0.000	0.225	0.032	0.024	0.016	0.059	0.005	0.007	0.001	2.566	0.510	0.106
CasGIS	06Nov25	8:50:29-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_227_DZA_NF.txt	0.1250	33.3750	1	365	12	30	1985	1294	0.535	64.868	0.036	1.364	1.472	1.00	1.00	0.00	100.005	0.001	0.780	0.010	0.780	0.010	0.0003	0.0050	0.0050	0.000	0.151	0.019	0.015	0.008	0.011	0.005	0.002	0.001	0.566	0.389	0.046
CasGIS	06Nov25	8:50:30-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_229_DZA_NF.txt	0.1250	32.8750	1	365	12	30	1985	1480	0.359	45.245	0.039	3.149	1.676	1.00	1.00	0.00	100.008	0.001	0.707	0.010	0.707	0.010	0.0016	0.0051	0.0050	0.000	0.202	0.028	0.029	0.032	0.191	0.021	0.019	0.002	12.912	0.313	0.079
CasGIS	06Nov25	8:50:31-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_231_DZA_NF.txt	0.1250	32.3750	1	365	12	30	1985	1600	0.093	11.737	0.017	1.989	1.367	1.00	1.00	0.00	99.980	0.001	0.642	0.010	0.642	0.010	0.0015	0.0066	0.0050	0.000	0.190	0.019	0.021	0.020	0.078	0.015	0.021	0.001	1.265	0.329	0.072
CasGIS	06Nov25	8:50:31-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_233_DZA_NF.txt	0.1250	31.8750	1	365	12	30	1985	1667	0.009	1.169	0.001	0.191	0.400	1.00	1.00	0.00	100.004	0.000	0.712	0.010	0.712	0.010	0.0019	0.0054	0.0050	0.000	0.190	0.012	0.009	0.007	0.017	0.003	0.003	0.000	1.128	0.426	0.015
CasGIS	06Nov25	8:50:32-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_235_DZA_NF.txt	0.1250	31.3750	1	365	12	30	1985	1712	0.106	13.413	0.020	2.442	1.569	1.00	1.00	0.00	99.998	0.001	0.827	0.010	0.827	0.010	0.0020	0.0068	0.0050	0.000	0.358	0.071	0.054	0.038	0.104	0.147	0.018	0.001	2.648	0.348	0.022
CasGIS	06Nov25	8:50:33-AM	C:\models\wx\AgMERRA_wx_africa_coarse_1980-2010_windows\agmerra_0001_237_DZA_NF.txt	0.1250	30.8750	1	365	12	30	1985	1725	0.012	1.492	0.003	0.334	0.354	1.00	1.00	0.00	99.995	0.000	1.067	0.010	1.067	0.010	0.0022	0.0061	0.0050	0.000	0.466	0.065	0.023	0.009	0.011	0.014	0.014	0.004	0.132	0.089	0.023
